id,unidade_id,data_plantao,turno,vagas_totais,vagas_ocupadas,status,created_at,unidade_nome,unidade_endereco
a797335e-0eca-45a6-8cf9-eb0531eadd53,e1969ee6-5072-452c-be7a-b4b67c584d56,2026-04-01,Manhã,1,0,ABERTO,2026-04-06T18:11:57.581551+00:00,UTI Vitória - ES,
a6d6322c-17f9-446e-aece-b5055a76c1f3,e1969ee6-5072-452c-be7a-b4b67c584d56,2026-04-01,Tarde,1,1,OCUPADO,2026-04-06T18:11:57.581551+00:00,UTI Vitória - ES,
bef99fac-f1ef-4fab-bcc6-8bac2939caaf,e1969ee6-5072-452c-be7a-b4b67c584d56,2026-04-01,Noite,1,1,OCUPADO,2026-04-06T18:11:57.581551+00:00,UTI Vitória - ES,
402ea684-0b6e-4de9-a89d-30082a4544c4,e1969ee6-5072-452c-be7a-b4b67c584d56,2026-04-01,Madrugada,1,1,OCUPADO,2026-04-06T18:11:57.581551+00:00,UTI Vitória - ES,
73cc5d39-d03f-45eb-83a3-b962dda61b03,492596f0-a69f-4b83-b583-30ab0ea3cb8c,2026-04-01,Manhã,1,1,OCUPADO,2026-04-06T18:11:57.581551+00:00,PS Vitória - ES,
a06ab397-e0f4-4ca6-8ed0-5eefa5830da9,492596f0-a69f-4b83-b583-30ab0ea3cb8c,2026-04-01,Tarde,1,1,OCUPADO,2026-04-06T18:11:57.581551+00:00,PS Vitória - ES,
ab388fdc-eb41-4f61-9c0e-8012379f50a1,492596f0-a69f-4b83-b583-30ab0ea3cb8c,2026-04-01,Noite,1,1,OCUPADO,2026-04-06T18:11:57.581551+00:00,PS Vitória - ES,
75df9921-1016-42f9-8052-9a4e0a271d4a,492596f0-a69f-4b83-b583-30ab0ea3cb8c,2026-04-01,Madrugada,1,1,OCUPADO,2026-04-06T18:11:57.581551+00:00,PS Vitória - ES,
3174c1ba-558c-46fc-86c0-46c953a26680,decbd054-c077-4e5a-90ca-fc0ec8ccf809,2026-04-01,Manhã,1,1,OCUPADO,2026-04-06T18:11:57.581551+00:00,ENFERMARIA Vitória - ES,
73e9b966-bd7c-44a3-a9ea-e158afb45697,decbd054-c077-4e5a-90ca-fc0ec8ccf809,2026-04-01,Tarde,1,1,OCUPADO,2026-04-06T18:11:57.581551+00:00,ENFERMARIA Vitória - ES,
6bb48173-c4f7-4da5-b266-4af4e1f5ce96,decbd054-c077-4e5a-90ca-fc0ec8ccf809,2026-04-01,Noite,1,1,OCUPADO,2026-04-06T18:11:57.581551+00:00,ENFERMARIA Vitória - ES,
72622568-3945-4d7f-9f67-67d8b76e11b4,decbd054-c077-4e5a-90ca-fc0ec8ccf809,2026-04-01,Madrugada,1,1,OCUPADO,2026-04-06T18:11:57.581551+00:00,ENFERMARIA Vitória - ES,
7cf8fad0-2766-4f87-97a5-0ed02a01ff0c,b6916e29-2cdc-433c-9f8b-c9e0fb4b27a1,2026-04-01,Manhã,1,1,OCUPADO,2026-04-06T18:11:57.581551+00:00,PS Vila Velha - ES,
22c84408-80ff-4f17-be0c-595395084250,b6916e29-2cdc-433c-9f8b-c9e0fb4b27a1,2026-04-01,Tarde,1,1,OCUPADO,2026-04-06T18:11:57.581551+00:00,PS Vila Velha - ES,
3f8735bb-14e4-400f-ab9c-a581a8209fc9,b6916e29-2cdc-433c-9f8b-c9e0fb4b27a1,2026-04-01,Noite,1,0,ABERTO,2026-04-06T18:11:57.581551+00:00,PS Vila Velha - ES,
55f28ee1-f6a8-4d3d-b91a-f4622533ee03,b6916e29-2cdc-433c-9f8b-c9e0fb4b27a1,2026-04-01,Madrugada,1,0,ABERTO,2026-04-06T18:11:57.581551+00:00,PS Vila Velha - ES,
291522ca-688b-4867-9d3b-06f813fbfa1b,e76bf95b-5aad-4709-bb29-2c611a1cc0c5,2026-04-01,Manhã,1,0,ABERTO,2026-04-06T18:11:57.581551+00:00,PS Campo grande - RJ,
363dbd14-88fd-4e55-988e-32e4b4876311,e76bf95b-5aad-4709-bb29-2c611a1cc0c5,2026-04-01,Tarde,1,1,OCUPADO,2026-04-06T18:11:57.581551+00:00,PS Campo grande - RJ,
fd394912-fc12-4efa-90d6-5531543fa064,e76bf95b-5aad-4709-bb29-2c611a1cc0c5,2026-04-01,Noite,1,0,ABERTO,2026-04-06T18:11:57.581551+00:00,PS Campo grande - RJ,
3f64030c-0543-4b05-ba2a-166a1e24d616,e76bf95b-5aad-4709-bb29-2c611a1cc0c5,2026-04-01,Madrugada,1,1,OCUPADO,2026-04-06T18:11:57.581551+00:00,PS Campo grande - RJ,
fc6a01c0-bcdb-451c-9ffc-ed9bcd4c9ae2,c3e990cc-25fd-475b-a5c9-2e69a79fb506,2026-04-01,Manhã,1,1,OCUPADO,2026-04-06T18:11:57.581551+00:00,PS Botafogo - RS,
60499b25-ce47-4d3e-929b-512b2c6970a3,c3e990cc-25fd-475b-a5c9-2e69a79fb506,2026-04-01,Tarde,1,1,OCUPADO,2026-04-06T18:11:57.581551+00:00,PS Botafogo - RS,
e60199e5-80e8-4580-bd56-0f689f207b51,c3e990cc-25fd-475b-a5c9-2e69a79fb506,2026-04-01,Noite,1,1,OCUPADO,2026-04-06T18:11:57.581551+00:00,PS Botafogo - RS,
69c64f50-d027-4208-8692-64fc1e1cd962,c3e990cc-25fd-475b-a5c9-2e69a79fb506,2026-04-01,Madrugada,1,0,ABERTO,2026-04-06T18:11:57.581551+00:00,PS Botafogo - RS,
afd3be33-1180-499f-ba73-ea2c8f014642,d59c5067-c1d2-4658-acb2-7fb7ebf70fb0,2026-04-01,Manhã,1,1,OCUPADO,2026-04-06T18:11:57.581551+00:00,PS Barra da Tijuca - RJ,
0a63da24-b9dc-4c61-bf96-e7c09cdd57b9,d59c5067-c1d2-4658-acb2-7fb7ebf70fb0,2026-04-01,Tarde,1,0,ABERTO,2026-04-06T18:11:57.581551+00:00,PS Barra da Tijuca - RJ,
cea40187-0a1d-497c-89d5-c8802f90d2fb,d59c5067-c1d2-4658-acb2-7fb7ebf70fb0,2026-04-01,Noite,1,1,OCUPADO,2026-04-06T18:11:57.581551+00:00,PS Barra da Tijuca - RJ,
567dad87-5c9b-4c03-a0cb-36999551839d,d59c5067-c1d2-4658-acb2-7fb7ebf70fb0,2026-04-01,Madrugada,1,1,OCUPADO,2026-04-06T18:11:57.581551+00:00,PS Barra da Tijuca - RJ,
f0145c81-80d9-4b03-baa9-7f061d6f625e,d270354e-a819-4d5d-b79c-1f969c2bcdaa,2026-04-01,Manhã,1,0,ABERTO,2026-04-06T18:11:57.581551+00:00,PS Vitural - Web,
6671d852-f96e-4dc4-a461-86bf7e4fc53f,d270354e-a819-4d5d-b79c-1f969c2bcdaa,2026-04-01,Tarde,1,1,OCUPADO,2026-04-06T18:11:57.581551+00:00,PS Vitural - Web,
b2d2dc21-b1e2-4238-8930-f7df20a4865e,d270354e-a819-4d5d-b79c-1f969c2bcdaa,2026-04-01,Noite,1,1,OCUPADO,2026-04-06T18:11:57.581551+00:00,PS Vitural - Web,
b6cdbea1-912d-4507-b86d-34782c280825,d270354e-a819-4d5d-b79c-1f969c2bcdaa,2026-04-01,Madrugada,1,1,OCUPADO,2026-04-06T18:11:57.581551+00:00,PS Vitural - Web,
ca87b036-68b8-4610-860b-4cb3ceea32c7,ba3bb4c6-9705-45f4-adda-eb6c9469c043,2026-04-01,Manhã,1,1,OCUPADO,2026-04-06T18:11:57.581551+00:00,Anestesista MG,
0635994a-061d-46e5-90b9-04f51611da14,ba3bb4c6-9705-45f4-adda-eb6c9469c043,2026-04-01,Tarde,1,1,OCUPADO,2026-04-06T18:11:57.581551+00:00,Anestesista MG,
59580c8f-f94c-4601-8485-b0e89ee8da96,ba3bb4c6-9705-45f4-adda-eb6c9469c043,2026-04-01,Noite,1,1,OCUPADO,2026-04-06T18:11:57.581551+00:00,Anestesista MG,
e68ef645-8004-4636-974a-8f0e65d17763,ba3bb4c6-9705-45f4-adda-eb6c9469c043,2026-04-01,Madrugada,1,1,OCUPADO,2026-04-06T18:11:57.581551+00:00,Anestesista MG,
f8a89d28-106d-4116-aa1c-444ca9898bd4,87aec33f-b6d1-4263-b8e3-e53bbbf6b3a2,2026-04-01,Manhã,1,1,OCUPADO,2026-04-06T18:11:57.581551+00:00,PS Taguatinga - DF,
aaa1cf8e-57e4-405a-96e8-d7076bbf31ae,87aec33f-b6d1-4263-b8e3-e53bbbf6b3a2,2026-04-01,Tarde,1,1,OCUPADO,2026-04-06T18:11:57.581551+00:00,PS Taguatinga - DF,
4d2efb81-e3a0-4aa5-ab5c-c21f46bbed03,87aec33f-b6d1-4263-b8e3-e53bbbf6b3a2,2026-04-01,Noite,1,0,ABERTO,2026-04-06T18:11:57.581551+00:00,PS Taguatinga - DF,
